Exercise Name,Type of Activity,Type of Equipment,Body Part,Type,Muscle Group Activated,Instructions
Jump Rope,Cardio,Resistance Band,Upper Body,Hold,"Hamstrings, Lats, Shoulders, Glutes","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
Barbell Squat,Cardio,Cable Machine,Upper Body,Stretch,"Rhomboids, Calves, Traps, Lats","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
Lunge,Cardio,None,Core,Stretch,"Traps, Calves, Chest, Core, Triceps","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
Lunge,Stretch,Medicine Ball,Lower Body,Pull,"Core, Back",Maintain a neutral spine and avoid locking your joints.
Barbell Deadlift,Strength,Cable Machine,Lower Body,Hold,"Core, Shoulders, Traps, Biceps",Maintain a neutral spine and avoid locking your joints.
Kettlebell Goblet Squat,Warm-up,Medicine Ball,Upper Body,Push,"Chest, Glutes, Lower Back, Biceps, Traps",Maintain a neutral spine and avoid locking your joints.
Resistance Band Chest Fly,Mobility,Cable Machine,Core,Stretch,"Quads, Chest, Biceps, Lower Back, Calves","Focus on controlled breathing: inhale on effort, exhale on return."
Pull-up,Warm-up,Dumbbells,Upper Body,Push,"Rhomboids, Quads, Back, Core, Glutes",Start in a stable position and perform the movement slowly to maintain form.
Kettlebell Goblet Squat,Mobility,Barbell,Core,Hold,"Hamstrings, Shoulders",Make sure your knees don’t extend past your toes during the movement.
Dumbbell Shoulder Press,Warm-up,Kettlebells,Lower Body,Pull,"Lats, Glutes, Shoulders, Back, Core",Maintain a neutral spine and avoid locking your joints.
Cable Crossover,Strength,Dumbbells,Upper Body,Hold,"Lower Back, Traps",Use a weight that allows you to complete the set with good form.
Dumbbell Bench Press,Cardio,Resistance Band,Full Body,Hold,"Lower Back, Chest, Lats","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
Medicine Ball Slam,Mobility,None,Full Body,Pull,"Lower Back, Triceps, Quads",Maintain a neutral spine and avoid locking your joints.
Push-up,Cardio,Dumbbells,Core,Push,"Triceps, Lower Back, Glutes",Keep your core engaged and back straight throughout the movement.
Jump Rope,Warm-up,Dumbbells,Core,Hold,"Calves, Traps, Core","Focus on controlled breathing: inhale on effort, exhale on return."
Push-up,Strength,None,Lower Body,Pull,"Shoulders, Quads, Hamstrings",Start in a stable position and perform the movement slowly to maintain form.
Kettlebell Goblet Squat,Mobility,Resistance Band,Lower Body,Stretch,"Calves, Glutes, Triceps, Back","Ensure smooth and controlled motion, avoiding any jerky movements."
Barbell Deadlift,Warm-up,None,Full Body,Hold,"Chest, Lats","Perform the exercise for 3 sets of 10-15 reps, resting 30 seconds between sets."
Jump Rope,Strength,Dumbbells,Full Body,Push,"Biceps, Rhomboids, Shoulders, Chest, Traps",Keep your core engaged and back straight throughout the movement.
